reference;quantity;id_shop
2122310;32;1
2122200;10;1
2025300;5;1
2230301;10;1
2230302;14;1
2230314;1;1
2230325;1;1
2230326;2;1
2230331;1;1
2230349;2;1
2230384;1;1
2230501;1;1
2230502;1;1
2230525;2;1
2230526;2;1
2230531;7;1
2230552;1;1
2230587;16;1
2230601;6;1
2230602;3;1
2230614;9;1
2230625;2;1
2230625;1;1
2230631;3;1
2230649;1;1
2230652;1;1
2230656;1;1
2230701;2;1
2230702;11;1
2230714;2;1
2230726;2;1
2230749;5;1
2230752;4;1
2230787;9;1
2240202;3;1
2240226;3;1
2240231;1;1
2240249;1;1
2256100;13;1
2256200;8;1
2253400;11;1
2291100;20;1
2291300;10;1
