"ID";"Quantité"
"2627830";"0"
"2024637";"30"
"2361015";"20"
"2391405";"20"
"2510015";"0"
"2600470";"0"
"2024237";"50"
"2230618";"20"
"2389300";"12"
"2429910";"29"
"2700705";"45"
"2202085";"18"
"2381810";"20"
"2392025";"12"
"2510445";"20"
"2634100";"47"
"2025300";"42"
"2381430";"26"
"2391525";"7"
"2510055";"0"
"2600611";"6"
"2024300";"20"
"2389985";"50"
"2429934";"28"
"2797700";"40"
"2204001";"8"
"2386800";"0"
"2392041";"20"
"2510485";"0"
"2636350";"25"
"2100529";"14"
"2381470";"21"
"2391665";"0"
"2510130";"0"
"2600621";"7"
"2024341";"20"
"2230731";"21"
"2390050";"0"
"2432150";"41"
"2586401";"22"
"2204033";"13"
"2386925";"5"
"2392052";"30"
"2510520";"0"
"2700210";"0"
"2100584";"17"
"2381610";"19"
"2391840";"0"
"2510175";"0"
"2600632";"2"
"2024404";"30"
"2237402";"41"
"2390120";"21"
"2438600";"0"
"2586726";"20"
"2204087";"7"
"2386964";"45"
"2406260";"0"
"2510550";"0"
"2700265";"43"
"2150500";"86"
"2381650";"28"
"2391890";"0"
"2510240";"0"
"2600650";"8"
"2024484";"16"
"2240225";"20"
"2390200";"51"
"2459000";"50"
"2600215";"0"
"2230326";"27"
"2387315";"40"
"2423060";"37"
"2230586";"11"
"2573700";"0"
"2230386";"30"
"2290100";"36"
"2459315";"0"
"2574300";"0"
"2391200";"24"
"2530500";"36"
"2573500";"0"
"2531600";"0"
"2573800";"0"
"2240286";"30"
"2391180";"40"
"2291100";"0"
"2548500";"0"
"2600620";"11"
"2291300";"0"
"2573600";"0"
"2220200";"36"
"2459200";"50"
"2574100";"0"
"2391280";"44"
"2230686";"28"
"2551200";"0"
"2387345";"43"
"2541205";"0"
"2541200";"50"
"2529300";"0"
"2531500";"0"
